,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
382,Kosuyolu mah,41.0090866,29.0387191,52d0f51e11d2b3f145f033cd,IVK Okçuluk,41.01215511368821,29.042350691086757,457,Gym / Fitness Center
141,Hasanpasa mah,40.9966818,29.0438107,52d2cd4a498e92b30fa63322,OLYMPUS GYM,40.9976007858321,29.045364799338117,165,Gym
396,Kosuyolu mah,41.0090866,29.0387191,52d42822498ef12830bd038b,Hasal Istanbul Eskrim,41.012055822861484,29.03701145418735,360,Martial Arts Dojo
377,Kosuyolu mah,41.0090866,29.0387191,52d428be498e25391c8c5458,"Hasal Istanbul Eskrim, Flöre Merkezi",41.01270613765494,29.041313199746373,458,Martial Arts Dojo
157,Hasanpasa mah,40.9966818,29.0438107,52d51fe111d2b1cc0f05525b,Acıbadem Pilates T.T,40.999431470249775,29.04132843017578,370,Gym / Fitness Center
400,Kosuyolu mah,41.0090866,29.0387191,52dd5ced498e982a1a63f81b,Müjde with Zumba,41.010051,29.042081,302,Gym / Fitness Center
562,Rasi̇mpasa mah,40.9960665,29.0270806,52dff2bb11d29d8eaf52edf4,İstanbul Thai Boxing,40.99816036168113,29.02860082325529,265,Martial Arts Dojo
331,Goztepe mah,40.9771558,29.066357,52ebb248498e1baef1fe47f0,GuppaCuppa,40.974637,29.063656,360,Gym
136,Egi̇ti̇m mah,40.9896682,29.0503567,52ed0836498e8396c004f5bd,Voit Ana Bayi,40.987542624696346,29.045569365336217,466,Gym / Fitness Center
178,Erenkoy mah,40.9731949,29.0765381,52f4df40498e6a38b620101d,Çerçi fitness form club,40.96809387207031,29.076692581176758,567,Gym / Fitness Center
248,Feneryolu mah,40.9819573,29.04890199999999,52f93ab0498e274f967866c2,OnMYogaMat,40.982718299106565,29.043313441844244,477,Yoga Studio
522,Osmanaga mah,40.9914317,29.0270806,52fd1dd711d24a487c2db431,İstanbul Eskrim Okulu -Atölye Flöre,40.990105,29.02721,148,Gym / Fitness Center
372,Kosuyolu mah,41.0090866,29.0387191,530368ec498ee84300932cdc,Üsküdar Belediyesi Spor Kulübü Kondisyon Salonu,41.012129060755086,29.042063293596687,440,Gym
284,Zuhtupasa mah,40.9859157,29.0387191,530384c1498ee8534f0efec9,sun gym,40.98761280098068,29.04300658822012,406,Gym / Fitness Center
139,Egi̇ti̇m mah,40.9896682,29.0503567,5304f2dd11d250deb25de603,M.B.L. Fitness,40.98555074830914,29.053058565424756,511,Gym
455,Merdi̇venkoy mah,40.9864251,29.066357,5309fff6498e80e81a20cb75,Turan's Gym,40.99061965942383,29.065980911254883,468,Gym / Fitness Center
269,Zuhtupasa mah,40.9859157,29.0387191,530a09e1498e1af15700aca5,Tunç fitness Fenerbahçe,40.98695310316766,29.034860404177074,344,Gym
380,Kosuyolu mah,41.0090866,29.0387191,530b7b4f11d2200441ea3142,Kosuyolu Studyo Yoga  & Pilates,41.01321586313764,29.037142608310297,478,Yoga Studio
390,Kosuyolu mah,41.0090866,29.0387191,530dc4cc498e4a32ab35d7ff,World Sport Academy / Acıbadem,41.00569384840819,29.043773721126662,568,Gym / Fitness Center
397,Kosuyolu mah,41.0090866,29.0387191,531ae4f0498e8d900936933e,dream kiddoh👻,41.011765,29.033493,530,Gymnastics Gym
62,Caddebostan mah,40.9679267,29.0619934,53334381498e071225f899b2,Bisiklet Cumhuriyeti,40.96778588746012,29.055950730368714,508,Cycle Studio
297,Dumlupinar mah,40.9942188,29.05908429999999,533598e5498e80f1cadf6356,İstanbul Hapkido Taekwondo Spor Kulübü,40.99086870212249,29.056900741600217,415,Martial Arts Dojo
168,Erenkoy mah,40.9731949,29.0765381,5339915b498e9ba84ab777a5,Marmara Akademi Spor Kulubu Spor Salonu,40.977201560279156,29.073865022415692,499,Gym
10,Bostanci mah,40.9583172,29.0968982,533eebb7498ede51428ee59c,Gym Room,40.96067428588867,29.10268211364746,552,Gym / Fitness Center
1,Bostanci mah,40.9583172,29.0968982,53465c53498e7dd0a7f997eb,Plates Studio,40.95812712235788,29.096202381328446,62,Gym
53,Caddebostan mah,40.9679267,29.0619934,534ebc9d498e8c70e12c4a9e,Bfit Caddebostan,40.97074305872378,29.064155316734436,362,Gym
171,Erenkoy mah,40.9731949,29.0765381,5353c83e498e0ea76925e0ff,Dilman Towers Fitness,40.97089749263158,29.074302484356792,317,Gym
164,Erenkoy mah,40.9731949,29.0765381,535956d7498ef335c4ce00d8,Topçu Fitness&Gym,40.974384042844164,29.077790772298915,169,Gym / Fitness Center
213,Fenerbahce mah,40.97428620000001,29.0430833,535e480e498e6cb6b458b275,Degiştir Hayatini/ Life coaching,40.97616459280781,29.042137166277033,223,Gym / Fitness Center
510,Osmanaga mah,40.9914317,29.0270806,535fb3df498e5d9b14e51502,Fitt-Bull GYM,40.99104556346724,29.03161847434334,383,Gym
288,Zuhtupasa mah,40.9859157,29.0387191,53693683498ea3276b8436ec,Sun Gym - Beast Mode,40.98685505040293,29.04271769436722,351,Gym
389,Kosuyolu mah,41.0090866,29.0387191,536a3df4498ef94c9f425893,Kosuyolu B Fit,41.01257937048418,29.0366097302761,427,Gym / Fitness Center
519,Osmanaga mah,40.9914317,29.0270806,537a10af498e8181c08c7be7,Bir Nefes Istanbul Guzellik Ve Yasam Merkezi,40.98950525327708,29.028125873381974,231,Gym / Fitness Center
211,Fenerbahce mah,40.97428620000001,29.0430833,537b956c498e262a54b49f88,PilatesPoint,40.97311662381167,29.04733640924081,380,Gymnastics Gym
446,Merdi̇venkoy mah,40.9864251,29.066357,537f670d498e77bc15e8f2a6,Çilek Spor (Göztepe),40.9847792816213,29.062780340635033,351,Gym
387,Kosuyolu mah,41.0090866,29.0387191,53879416498e39acdc8bddbc,Sifu Saffet Demir Avcı Wing Tsun Aytunc Benturk Dans Academy,41.008311247765214,29.04280770128324,354,Martial Arts Dojo
509,Osmanaga mah,40.9914317,29.0270806,538df8ab498e0e59cb3e2480,K.F.A Kadıköy Fight Academy,40.99251716928099,29.029560341758977,240,Martial Arts Dojo
467,19 mayis mah,40.97462609999999,29.0881728,538f6e4d498e1009f2125ecf,NewFit Club Kazasker,40.97262165654746,29.084659176624427,370,Gym / Fitness Center
186,Erenkoy mah,40.9731949,29.0765381,53a42291498ecd1a946c0af1,bfiterenköy,40.97398126644778,29.081686332053483,441,Gym
